"Czas","Data","Godzina","Al. USA - suma","Al. USA - południe","Al. USA - północ","Banacha","Bazyliańska","Belwederska","Dworzec Wilenski (al. Solidarności)","Dworzec Wileński (Targowa)","Marszałkowska","Most Gdański - suma","Most Gdański - ciąg pieszo-rowerowy","Most Gdanski - ścieżka rowerowa","NSR - Solec - suma","NSR - Solec - ciąg pieszo-rowerowy","NSR-Solec - ścieżka rowerowa","Praska ścieżka rekreacyjna","Świętokrzyska - Emilii Plater - suma","Świętokrzyska - Emilii Plater, płd","Świętokrzyska - Emilii Plater, płn","Wybrzeże Helskie","Wysockiego","Żwirki i Wigury/Trojdena - suma","Żwirki i Wigury/Trojdena zach.","Żwirki i Wigury/Trojdena wsch.","Jaki_dzien"
2017-05-16 12:00:00,2017-05-16,12,59,42,17,184,17,57,60,64,76,81,17,64,66,13,53,22,244,131,113,92,27,106,34,72,"roboczy"
2017-05-16 13:00:00,2017-05-16,13,73,46,27,159,9,65,67,79,100,112,23,89,81,13,68,38,257,135,122,119,33,130,42,88,"roboczy"
2017-05-16 14:00:00,2017-05-16,14,78,46,32,168,11,71,75,70,107,117,33,84,102,11,91,31,311,171,140,133,53,152,42,110,"roboczy"
2017-05-16 15:00:00,2017-05-16,15,114,66,48,286,22,129,154,116,107,191,57,134,164,15,149,56,371,205,166,199,56,227,43,184,"roboczy"
2017-05-16 16:00:00,2017-05-16,16,132,88,44,548,31,261,190,180,170,350,163,187,208,28,180,57,672,378,294,311,98,399,73,326,"roboczy"
2017-05-16 17:00:00,2017-05-16,17,212,143,69,559,32,283,195,143,159,397,157,240,310,23,287,88,765,382,383,334,123,433,77,356,"roboczy"
2017-05-16 18:00:00,2017-05-16,18,238,150,88,428,29,225,174,153,132,315,45,270,282,9,273,141,606,310,296,289,115,341,55,286,"roboczy"
2017-05-16 19:00:00,2017-05-16,19,199,128,71,317,33,155,192,158,115,289,16,273,280,6,274,106,521,313,208,276,125,290,50,240,"roboczy"
2017-05-16 20:00:00,2017-05-16,20,146,90,56,243,26,142,135,155,73,185,13,172,243,9,234,78,411,263,148,216,77,226,40,186,"roboczy"
2017-05-16 21:00:00,2017-05-16,21,82,56,26,152,16,84,70,81,71,109,9,100,109,6,103,27,288,186,102,139,32,143,43,100,"roboczy"
2017-05-16 22:00:00,2017-05-16,22,50,37,13,81,4,30,45,37,39,57,3,54,70,1,69,10,218,130,88,82,24,54,11,43,"roboczy"
2017-05-16 23:00:00,2017-05-16,23,25,15,10,37,4,23,19,21,27,13,1,12,23,0,23,3,66,47,19,25,6,36,11,25,"roboczy"
2017-05-17 00:00:00,2017-05-17,0,7,5,2,10,1,18,11,4,7,4,0,4,12,0,12,0,46,30,16,5,4,6,1,5,"roboczy"
2017-05-17 01:00:00,2017-05-17,1,3,1,2,1,0,0,4,4,7,2,1,1,4,0,4,0,19,14,5,7,1,5,1,4,"roboczy"
2017-05-17 02:00:00,2017-05-17,2,0,0,0,3,0,1,0,5,3,1,1,0,0,0,0,0,18,8,10,0,1,2,1,1,"roboczy"
2017-05-17 03:00:00,2017-05-17,3,1,0,1,2,0,0,3,3,1,2,0,2,2,0,2,1,8,4,4,4,1,3,1,2,"roboczy"
2017-05-17 04:00:00,2017-05-17,4,3,3,0,4,3,2,6,4,0,2,0,2,6,0,6,1,6,3,3,6,3,4,2,2,"roboczy"
2017-05-17 05:00:00,2017-05-17,5,8,6,2,29,7,13,30,13,9,18,3,15,21,2,19,0,28,10,18,38,14,18,3,15,"roboczy"
2017-05-17 06:00:00,2017-05-17,6,46,31,15,138,15,33,86,34,42,59,9,50,73,4,69,2,148,77,71,120,36,90,20,70,"roboczy"
2017-05-17 07:00:00,2017-05-17,7,104,76,28,406,27,121,175,110,101,133,17,116,129,6,123,7,430,234,196,217,46,276,73,203,"roboczy"
2017-05-17 08:00:00,2017-05-17,8,104,77,27,565,16,178,162,126,138,102,12,90,138,10,128,14,627,319,308,236,47,390,79,311,"roboczy"
2017-05-17 09:00:00,2017-05-17,9,73,43,30,285,10,106,97,69,92,64,8,56,95,6,89,26,419,202,217,126,37,198,48,150,"roboczy"
2017-05-17 10:00:00,2017-05-17,10,40,26,14,202,8,63,65,57,62,78,10,68,68,6,62,14,244,128,116,90,25,114,28,86,"roboczy"
2017-05-17 11:00:00,2017-05-17,11,61,38,23,158,13,57,60,52,70,81,11,70,56,7,49,28,266,147,119,117,39,115,34,81,"roboczy"
2017-05-17 12:00:00,2017-05-17,12,71,39,32,157,10,56,57,56,66,88,12,76,65,9,56,42,260,151,109,105,31,129,36,93,"roboczy"
2017-05-17 13:00:00,2017-05-17,13,66,40,26,176,9,69,76,64,86,112,13,99,71,9,62,45,263,162,101,129,43,130,42,88,"roboczy"
2017-05-17 14:00:00,2017-05-17,14,86,56,30,192,8,83,91,105,106,115,21,94,110,10,100,36,308,167,141,135,58,156,35,121,"roboczy"
2017-05-17 15:00:00,2017-05-17,15,112,71,41,311,20,127,137,112,142,155,36,119,119,12,107,50,475,271,204,222,64,217,46,171,"roboczy"
2017-05-17 16:00:00,2017-05-17,16,139,95,44,566,20,254,201,162,194,269,76,193,239,19,220,63,687,374,313,322,84,365,72,293,"roboczy"
2017-05-17 17:00:00,2017-05-17,17,209,129,80,561,28,307,208,158,165,360,132,228,282,15,267,78,765,413,352,341,112,444,72,372,"roboczy"
2017-05-17 18:00:00,2017-05-17,18,252,174,78,415,30,216,173,158,142,292,57,235,301,13,288,136,572,291,281,285,101,328,48,280,"roboczy"
2017-05-17 19:00:00,2017-05-17,19,234,157,77,366,37,208,165,149,115,294,20,274,319,4,315,122,558,303,255,322,115,286,50,236,"roboczy"
2017-05-17 20:00:00,2017-05-17,20,164,115,49,267,26,172,129,127,76,234,10,224,261,8,253,108,425,255,170,268,86,216,36,180,"roboczy"
2017-05-17 21:00:00,2017-05-17,21,97,63,34,171,15,106,84,73,98,110,3,107,161,2,159,19,308,203,105,141,58,148,33,115,"roboczy"
2017-05-17 22:00:00,2017-05-17,22,47,37,10,86,6,54,57,51,39,75,5,70,123,1,122,3,210,148,62,105,19,60,16,44,"roboczy"
2017-05-17 23:00:00,2017-05-17,23,18,13,5,41,0,27,35,25,21,25,3,22,35,3,32,2,99,71,28,47,7,24,3,21,"roboczy"
2017-05-18 00:00:00,2017-05-18,0,17,9,8,21,1,9,9,11,9,14,1,13,22,1,21,0,51,37,14,18,3,15,2,13,"roboczy"
