"","data","wartosc","status"
"397","2015-08-28 00:00:00",21.9,0
"398","2015-08-29 00:00:00",19.2,0
"399","2015-08-30 00:00:00",21.7,0
"400","2015-08-31 00:00:00",26.5,0
"401","2015-09-01 00:00:00",27.2,0
"402","2015-09-02 00:00:00",18.8,0
"403","2015-09-03 00:00:00",16.8,0
"404","2015-09-04 00:00:00",14.5,0
"405","2015-09-05 00:00:00",16.3,0
"406","2015-09-06 00:00:00",12.8,0
"407","2015-09-07 00:00:00",11.6,0
"408","2015-09-08 00:00:00",12.1,0
"409","2015-09-09 00:00:00",12.3,0
"410","2015-09-10 00:00:00",15.2,0
"411","2015-09-11 00:00:00",15.6,0
"412","2015-09-12 00:00:00",13.6,0
"413","2015-09-13 00:00:00",14.2,0
"414","2015-09-14 00:00:00",16.5,0
"415","2015-09-15 00:00:00",19.2,0
"416","2015-09-16 00:00:00",21.3,0
"417","2015-09-17 00:00:00",23.6,0
"418","2015-09-18 00:00:00",18.3,0
"419","2015-09-19 00:00:00",17.3,0
"420","2015-09-20 00:00:00",14.7,0
"421","2015-09-21 00:00:00",10.9,0
"422","2015-09-22 00:00:00",12,0
"423","2015-09-23 00:00:00",16.3,0
"424","2015-09-24 00:00:00",18.1,0
"425","2015-09-25 00:00:00",16.5,0
"426","2015-09-26 00:00:00",13.2,0
"427","2015-09-27 00:00:00",11.3,0
"428","2015-09-28 00:00:00",10.6,0
"429","2015-09-29 00:00:00",11.2,0
"430","2015-09-30 00:00:00",10.5,0
"431","2015-10-01 00:00:00",9,0
"432","2015-10-02 00:00:00",10.2,0
"433","2015-10-03 00:00:00",11.6,0
"434","2015-10-04 00:00:00",14.6,0
"435","2015-10-05 00:00:00",13.7,0
"436","2015-10-06 00:00:00",12.3,0
"437","2015-10-07 00:00:00",6.7,0
"438","2015-10-08 00:00:00",5.2,0
"439","2015-10-09 00:00:00",3.4,0
"440","2015-10-10 00:00:00",3,0
"441","2015-10-11 00:00:00",2.6,0
"442","2015-10-12 00:00:00",3,0
"443","2015-10-13 00:00:00",4.2,0
"444","2015-10-14 00:00:00",6.7,0
"445","2015-10-15 00:00:00",8.2,0
"446","2015-10-16 00:00:00",9.8,0
"447","2015-10-17 00:00:00",9.5,0
"448","2015-10-18 00:00:00",9.1,0
"449","2015-10-19 00:00:00",8.2,0
"450","2015-10-20 00:00:00",8.2,0
"451","2015-10-21 00:00:00",7.8,0
"452","2015-10-22 00:00:00",8.3,0
"453","2015-10-23 00:00:00",9.6,0
"454","2015-10-24 00:00:00",8.9,0
"455","2015-10-25 00:00:00",6.8,0
"456","2015-10-26 00:00:00",6.4,0
"457","2015-10-27 00:00:00",3.2,0
"458","2015-10-28 00:00:00",5.2,0
"459","2015-10-29 00:00:00",5.8,0
"460","2015-10-30 00:00:00",7.2,0
"461","2015-10-31 00:00:00",5.8,0
"462","2015-11-01 00:00:00",6.9,0
"463","2015-11-02 00:00:00",6.7,0
"464","2015-11-03 00:00:00",4.5,0
"465","2015-11-04 00:00:00",2.2,0
"466","2015-11-05 00:00:00",2.8,0
"467","2015-11-06 00:00:00",1.1,0
"468","2015-11-07 00:00:00",4.6,0
"469","2015-11-08 00:00:00",12.3,0
"470","2015-11-09 00:00:00",8.6,0
"471","2015-11-10 00:00:00",12,0
"472","2015-11-11 00:00:00",13.8,0
"473","2015-11-12 00:00:00",11.4,0
"474","2015-11-13 00:00:00",7.6,0
"475","2015-11-14 00:00:00",7.9,0
"476","2015-11-15 00:00:00",5.9,0
"477","2015-11-16 00:00:00",5.9,0
"478","2015-11-17 00:00:00",9.3,0
"479","2015-11-18 00:00:00",10.6,0
"480","2015-11-19 00:00:00",10.1,0
"481","2015-11-20 00:00:00",7.4,0
"482","2015-11-21 00:00:00",4.5,0
"483","2015-11-22 00:00:00",2.7,0
"484","2015-11-23 00:00:00",0.9,0
"485","2015-11-24 00:00:00",-0.5,0
"486","2015-11-25 00:00:00",-1.9,0
"487","2015-11-26 00:00:00",-1.9,0
"488","2015-11-27 00:00:00",-2.8,0
"489","2015-11-28 00:00:00",-1.1,0
"490","2015-11-29 00:00:00",3.1,0
"491","2015-11-30 00:00:00",5.3,0
"492","2015-12-01 00:00:00",2.6,0
"493","2015-12-02 00:00:00",3.4,0
"494","2015-12-03 00:00:00",7.5,0
"495","2015-12-04 00:00:00",6.9,0
"496","2015-12-05 00:00:00",7.5,0
"497","2015-12-06 00:00:00",8.4,0
"498","2015-12-07 00:00:00",8.5,0
"499","2015-12-08 00:00:00",0.5,0
"500","2015-12-09 00:00:00",3.1,0
"501","2015-12-10 00:00:00",3.5,0
"502","2015-12-11 00:00:00",1.8,0
"503","2015-12-12 00:00:00",4.8,0
"504","2015-12-13 00:00:00",4.1,0
"505","2015-12-14 00:00:00",1.3,0
"506","2015-12-15 00:00:00",-0.1,0
"507","2015-12-16 00:00:00",1.2,0
"508","2015-12-17 00:00:00",4.4,0
"509","2015-12-18 00:00:00",9.3,0
"510","2015-12-19 00:00:00",9.6,0
"511","2015-12-20 00:00:00",6.6,0
"512","2015-12-21 00:00:00",5.4,0
"513","2015-12-22 00:00:00",8.8,0
"514","2015-12-23 00:00:00",11.7,0
"515","2015-12-24 00:00:00",5.5,0
"516","2015-12-25 00:00:00",5.4,0
"517","2015-12-26 00:00:00",11,0
"518","2015-12-27 00:00:00",9.6,0
"519","2015-12-28 00:00:00",6.5,0
"520","2015-12-29 00:00:00",-1.9,0
"521","2015-12-30 00:00:00",-4.1,0
"522","2015-12-31 00:00:00",-5.6,0
"523","2016-01-01 00:00:00",-9.1,0
"524","2016-01-02 00:00:00",-10.7,0
"525","2016-01-03 00:00:00",-15,0
"526","2016-01-04 00:00:00",-14.1,0
"527","2016-01-05 00:00:00",-13.6,0
"528","2016-01-06 00:00:00",-6.8,0
"529","2016-01-07 00:00:00",-5.4,0
"530","2016-01-08 00:00:00",-3.2,0
"531","2016-01-09 00:00:00",0.5,0
"532","2016-01-10 00:00:00",-1.7,0
"533","2016-01-11 00:00:00",1,0
"534","2016-01-12 00:00:00",0.2,0
"535","2016-01-13 00:00:00",1,0
"536","2016-01-14 00:00:00",-0.8,0
"537","2016-01-15 00:00:00",-1.1,0
"538","2016-01-16 00:00:00",-3.9,0
"539","2016-01-17 00:00:00",-4.8,0
"540","2016-01-18 00:00:00",-6.1,0
"541","2016-01-19 00:00:00",-5.5,0
"542","2016-01-20 00:00:00",-6.5,0
"543","2016-01-21 00:00:00",-3.3,0
"544","2016-01-22 00:00:00",-4.5,0
"545","2016-01-23 00:00:00",-9.6,0
"546","2016-01-24 00:00:00",-3.2,0
"547","2016-01-25 00:00:00",1.6,0
"548","2016-01-26 00:00:00",3.3,0
"549","2016-01-27 00:00:00",7.1,0
"550","2016-01-28 00:00:00",7.7,0
"551","2016-01-29 00:00:00",4.2,0
"552","2016-01-30 00:00:00",7.7,0
"553","2016-01-31 00:00:00",4.4,0
"554","2016-02-01 00:00:00",3.5,0
"555","2016-02-02 00:00:00",9.7,0
"556","2016-02-03 00:00:00",5.9,0
"557","2016-02-04 00:00:00",2.3,0
"558","2016-02-05 00:00:00",1.4,0
"559","2016-02-06 00:00:00",2.5,0
"560","2016-02-07 00:00:00",4.3,0
"561","2016-02-08 00:00:00",6.3,0
"562","2016-02-09 00:00:00",8.5,0
"563","2016-02-10 00:00:00",5.5,0
"564","2016-02-11 00:00:00",1.7,0
"565","2016-02-12 00:00:00",3.1,0
"566","2016-02-13 00:00:00",3,0
"567","2016-02-14 00:00:00",5,0
"568","2016-02-15 00:00:00",4.9,0
"569","2016-02-16 00:00:00",3.6,0
"570","2016-02-17 00:00:00",1.3,0
"571","2016-02-18 00:00:00",6.4,0
"572","2016-02-19 00:00:00",3.4,0
"573","2016-02-20 00:00:00",1.4,0
"574","2016-02-21 00:00:00",4.6,0
"575","2016-02-22 00:00:00",8,0
"576","2016-02-23 00:00:00",3.5,0
"577","2016-02-24 00:00:00",2.8,0
"578","2016-02-25 00:00:00",1.3,0
"579","2016-02-26 00:00:00",-0.5,0
"580","2016-02-27 00:00:00",-1.8,0
"581","2016-02-28 00:00:00",1.4,0
"582","2016-02-29 00:00:00",0.8,0
"583","2016-03-01 00:00:00",0.7,0
"584","2016-03-02 00:00:00",1.3,0
"585","2016-03-03 00:00:00",4,0
"586","2016-03-04 00:00:00",2.3,0
"587","2016-03-05 00:00:00",2.8,0
"588","2016-03-06 00:00:00",5.8,0
"589","2016-03-07 00:00:00",3.8,0
"590","2016-03-08 00:00:00",4.8,0
"591","2016-03-09 00:00:00",3.8,0
"592","2016-03-10 00:00:00",4.8,0
"593","2016-03-11 00:00:00",5.2,0
"594","2016-03-12 00:00:00",4.1,0
"595","2016-03-13 00:00:00",4.1,0
"596","2016-03-14 00:00:00",1.6,0
"597","2016-03-15 00:00:00",2.3,0
"598","2016-03-16 00:00:00",3.7,0
"599","2016-03-17 00:00:00",4.7,0
"600","2016-03-18 00:00:00",4.7,0
"601","2016-03-19 00:00:00",1.5,0
"602","2016-03-20 00:00:00",4.3,0
"603","2016-03-21 00:00:00",5.7,0
"604","2016-03-22 00:00:00",4.2,0
"605","2016-03-23 00:00:00",1.9,0
"606","2016-03-24 00:00:00",1.6,0
"607","2016-03-25 00:00:00",3.5,0
"608","2016-03-26 00:00:00",5,0
"609","2016-03-27 00:00:00",5.2,0
"610","2016-03-28 00:00:00",8.1,0
"611","2016-03-29 00:00:00",7.7,0
"612","2016-03-30 00:00:00",8.3,0
"613","2016-03-31 00:00:00",8.9,0
"614","2016-04-01 00:00:00",5.5,0
"615","2016-04-02 00:00:00",6.2,0
"616","2016-04-03 00:00:00",9.2,0
"617","2016-04-04 00:00:00",13.5,0
"618","2016-04-05 00:00:00",16.2,0
"619","2016-04-06 00:00:00",12.4,0
"620","2016-04-07 00:00:00",12.6,0
"621","2016-04-08 00:00:00",10.4,0
"622","2016-04-09 00:00:00",9.8,0
"623","2016-04-10 00:00:00",8.6,0
"624","2016-04-11 00:00:00",10.8,0
"625","2016-04-12 00:00:00",11.9,0
