"","Data","startTyg","al. Solidarności/Dworzec Wileński","al. Stanów Zjednoczonych - suma","al. Stanów Zjednoczonych N","al. Stanów Zjednoczonych S","Aleje Jerozolimskie/pl. Zawiszy - suma","Aleje Jerozolimskie/pl. Zawiszy N","Aleje Jerozolimskie/pl. Zawiszy S","Banacha/Żwirki i Wigury","Bazyliańska/Wysockiego","Belwederska","Bystra/Radzymińska","Czerniakowska - suma","Czerniakowska E","Czerniakowska W","Jagiellońska","Marsa","Marszałkowska/Metro Świętokrzyska","NSR Most Gdański - suma","NSR Most Gdański CPR","NSR Most Gdański DDR","NSR Solec - suma","NSR Solec CPR","NSR Solec DDR","Okopowa/rondo Radosława","Praska ścieżka rekreacyjna","Przyczółkowa/al. Wilanowska","Radzymińska/Jórskiego","Szaserów - suma","Szaserów N","Szaserów S","Świętokrzyska/Emilii Plater - suma","Świętokrzyska/Emilii Plater N","Świętokrzyska/Emilii Plater S","Świętokrzyska/Zielna (display)","Targowa/Dworzec Wileński","Towarowa/Łucka","Wiertnicza","Wybrzeże Helskie/Starzyńskiego","Wysockiego","Żwirki i Wigury/1 Sierpnia","Żwirki i Wigury/Trojdena - suma","Żwirki i Wigury/Trojdena E","Żwirki i Wigury/Trojdena W","temp_min","temp_avg","temp_max","deszcz","snieg","Rodzaj_opadu","Jaki_dzien","Wolne"
"1006",2017-05-14,2017-05-08,1958,2332,752,1580,NA,NA,NA,3809,429,2334,NA,NA,NA,NA,NA,NA,1425,5838,1204,4634,4469,348,4121,NA,2136,NA,NA,NA,NA,NA,5448,3027,2421,NA,1601,NA,NA,4165,1469,NA,2994,2501,493,8,15,21.8,0,0,"s","weekend",TRUE
"1007",2017-05-15,2017-05-15,1509,1412,493,919,NA,NA,NA,3567,253,1625,NA,NA,NA,NA,NA,NA,1400,1753,378,1375,1669,110,1559,NA,423,NA,NA,NA,NA,NA,5065,2773,2292,NA,1240,NA,NA,2152,721,NA,2800,2163,637,8.9,15.4,20.2,0,0,"s","roboczy",FALSE
"1008",2017-05-16,2017-05-15,1987,1837,669,1168,NA,NA,NA,4872,322,2036,NA,NA,NA,NA,NA,NA,1675,2757,649,2108,2464,183,2281,NA,729,NA,NA,NA,NA,NA,6798,3704,3094,NA,1690,NA,NA,3044,986,NA,3694,2884,810,12,16.4,21.1,0,0,"s","roboczy",FALSE
"1009",2017-05-17,2017-05-15,2112,1945,650,1295,NA,NA,NA,5112,309,2271,NA,NA,NA,NA,NA,NA,1782,2675,460,2215,2690,146,2544,NA,797,NA,NA,NA,NA,NA,7189,3985,3204,NA,1721,NA,NA,3388,1032,NA,3724,2944,780,8.5,16.2,22.1,0,0,"s","roboczy",FALSE
"1010",2017-05-18,2017-05-15,2299,2151,711,1440,NA,NA,NA,5235,334,2356,NA,NA,NA,NA,NA,NA,1718,2830,410,2420,2821,112,2709,NA,820,NA,NA,NA,NA,NA,7428,4066,3362,NA,1743,NA,NA,3423,1115,NA,3929,3159,770,10.8,18.3,24.2,0,0,"s","roboczy",FALSE
"1011",2017-05-19,2017-05-15,2184,2039,682,1357,NA,NA,NA,5129,357,2275,NA,NA,NA,NA,NA,NA,1904,3305,794,2511,3073,137,2936,NA,988,NA,NA,NA,NA,NA,7297,4012,3285,NA,1923,NA,NA,3655,1037,NA,3741,2961,780,12,19.5,25.4,0,0,"s","roboczy",FALSE
"1012",2017-05-20,2017-05-15,2266,2477,882,1595,NA,NA,NA,3862,406,2386,NA,NA,NA,NA,NA,NA,1677,5525,1233,4292,5072,265,4807,NA,2133,NA,NA,NA,NA,NA,6546,3624,2922,NA,2082,NA,NA,4605,1415,NA,2992,2451,541,12.7,20.4,27.1,0,0,"s","weekend",TRUE
"1013",2017-05-21,2017-05-15,1779,1907,703,1204,NA,NA,NA,3190,339,1809,NA,NA,NA,NA,NA,NA,1248,4877,1410,3467,3632,382,3250,NA,1867,NA,NA,NA,NA,NA,5121,2905,2216,NA,1622,NA,NA,3583,1024,NA,2588,2109,479,13.6,16.9,22.9,0,0,"s","weekend",TRUE
"1014",2017-05-22,2017-05-22,1990,1957,713,1244,NA,NA,NA,5024,325,2153,NA,NA,NA,NA,NA,NA,1737,2307,417,1890,2332,110,2222,NA,684,NA,NA,NA,NA,NA,6838,3631,3207,NA,1636,NA,NA,3175,1004,NA,3382,2717,665,9.5,16.6,21.8,0,0,"s","roboczy",FALSE
"1015",2017-05-23,2017-05-22,2012,1990,766,1224,NA,NA,NA,5414,360,2280,NA,NA,NA,NA,NA,NA,1855,3042,795,2247,2700,183,2517,NA,721,NA,NA,NA,NA,NA,7581,4156,3425,NA,1724,NA,NA,3406,1142,NA,4075,3227,848,12.8,18.1,23.5,0,0,"s","roboczy",FALSE
